29,0,6.00,2.50,2.00,1.50,6.00,2.50,2.00,1.50,40.52
29,1,5.00,4.00,3.00,2.00,5.00,4.00,3.00,2.00,34.47
29,2,4.00,3.50,2.00,1.00,4.00,3.50,2.00,1.00,28.29
29,3,6.00,5.50,2.50,2.00,6.00,5.50,2.00,2.50,35.92
29,4,5.50,3.50,3.00,2.50,3.50,5.50,3.00,2.50,26.86
29,5,5.00,4.00,2.50,1.00,4.00,5.00,2.50,1.00,38.62
29,6,5.00,4.00,1.50,0.50,4.00,5.00,1.50,0.50,27.17
29,7,6.00,5.50,4.50,0.50,5.50,6.00,4.50,0.50,31.67
29,8,6.00,4.50,1.50,1.00,6.00,4.50,1.50,1.00,17.47
29,9,6.00,5.50,4.50,1.50,6.00,5.50,4.50,1.50,34.25
29,10,5.50,5.00,3.50,1.50,5.50,5.00,3.50,1.50,21.10
29,11,6.00,4.00,3.00,2.50,6.00,4.00,3.00,2.50,30.21
29,12,6.00,3.00,1.50,0.50,6.00,3.00,1.50,0.50,35.03
29,13,6.00,5.50,4.50,2.00,5.50,6.00,4.50,2.00,33.75
29,14,5.50,4.50,3.50,1.00,4.50,5.50,3.50,1.00,25.66
